wl,name,tier,C,H,net,gross,ovh,K,pos,n
A2,vLLM serving,sata,2,16,16.846539938370373,17.044983612660303,19.376188785103086,0.23815777952893794,79.46035081574877,68526
A2,vLLM serving,sata,2,24,20.222369000520366,20.43748289463318,15.20823840747042,0.26819324292728547,88.10644143090953,68432
A2,vLLM serving,sata,2,36,22.867895377820062,23.103486244950577,14.805353495865159,0.3049255172817466,89.29146302203752,68338
A2,vLLM serving,sata,2,48,24.987488087038056,25.23703408559142,13.575331771639963,0.33112068460230937,90.77721118340074,68244
A3,ViT-Huge train,nvme,4,4,0.0,0.0,0.0,0,0,68620
A3,ViT-Huge train,nvme,4,6,4.069137426221822,4.093495576271132,13.096247104339804,0.39040146996631325,66.20681609379785,68573
A3,ViT-Huge train,nvme,4,8,6.990432769331658,7.016846540480258,10.986484327044634,0.43267758447202254,71.46398728362475,68573
A3,ViT-Huge train,nvme,4,12,11.314883524806264,11.345032511817843,6.2987825087473,0.5166943933689403,80.34760528850363,68526
A3,ViT-Huge train,nvme,4,16,14.687498068613385,14.71626974606771,4.20387875051884,0.5165630563581706,84.04547179172869,68526
A3,ViT-Huge train,nvme,4,24,18.83254195424289,18.86205181932944,1.9529465521134453,0.5595481646013561,91.47328735094693,68432
A3,ViT-Huge train,nvme,4,36,21.714934573557564,21.749257750226032,1.644175588130169,0.6806023003307091,92.777078638532,68338
A3,ViT-Huge train,nvme,4,48,23.94622455017198,23.983421448094724,1.3093292952105064,0.7602866186038333,93.47634956919289,68244
A3,ViT-Huge train,sata,4,4,0.0,0.0,0.0,0,0,68620
A3,ViT-Huge train,sata,4,6,3.8961894756629403,4.093495576271132,106.08233562596752,0.39040146996631325,59.07718781444592,68573
A3,ViT-Huge train,sata,4,8,6.802889479819369,7.016846540480258,88.99281667835736,0.43267758447202254,65.75911802021204,68573
A3,ViT-Huge train,sata,4,12,11.100819422872272,11.345032511817843,51.0214533067631,0.5166943933689403,75.79604821527596,68526
A3,ViT-Huge train,sata,4,16,14.483213152074445,14.71626974606771,34.05229551568497,0.5165630563581706,80.9809415404372,68526
A3,ViT-Huge train,sata,4,24,18.623015751404978,18.86205181932944,15.81927478538657,0.5595481646013561,89.8702361468319,68432
A3,ViT-Huge train,sata,4,36,21.47123285362131,21.749257750226032,13.318165515542914,0.6806023003307091,91.21133190904035,68338
A3,ViT-Huge train,sata,4,48,23.682118809388562,23.983421448094724,10.605840637613287,0.7602866186038333,92.15022566086397,68244
A4,DLRM train,nvme,3,4,2.309465012284532,2.343937315993282,26.809822899134204,0.24988341591372779,55.931215389099386,68620
A4,DLRM train,nvme,3,6,5.824891824127403,5.87078770167494,18.616137545427133,0.3406880258994065,66.82659355723098,68573
A4,DLRM train,nvme,3,8,8.534680567289621,8.57903995882693,15.22667694143855,0.33825266504309276,70.82525192131014,68573
A4,DLRM train,nvme,3,12,12.523935500970547,12.57522572344733,9.195181748142824,0.4097422875988676,78.62709044742142,68526
A4,DLRM train,nvme,3,16,15.803117389482868,15.849994675716722,6.221407346913977,0.39284359221317455,82.3395499518431,68526
A4,DLRM train,nvme,3,24,19.54914985717339,19.599130485482934,3.161341866844675,0.4376753565583353,90.69148936170212,68432
A4,DLRM train,nvme,3,36,22.310216534269266,22.366787025666163,2.5822937851544068,0.5159208639409991,91.92103953876321,68338
A4,DLRM train,nvme,3,48,24.487567253217165,24.548376214512782,2.1949426497161797,0.5693101225016118,92.86677217044722,68244
A4,DLRM train,sata,3,4,2.0776937788384653,2.343937315993282,207.06310026352583,0.24988341591372779,46.72835907898572,68620
A4,DLRM train,sata,3,6,5.5163152857226825,5.87078770167494,143.7799559359585,0.3406880258994065,58.28241436133755,68573
A4,DLRM train,sata,3,8,8.236434445464312,8.57903995882693,117.60178148387645,0.33825266504309276,64.16665451416739,68573
A4,DLRM train,sata,3,12,12.179090600913863,12.57522572344733,71.01810584203925,0.4097422875988676,72.94019788109622,68526
A4,DLRM train,sata,3,16,15.487942443740351,15.849994675716722,48.05044397722922,0.39284359221317455,78.44905583282258,68526
A4,DLRM train,sata,3,24,19.21310988811349,19.599130485482934,24.416321226906742,0.4376753565583353,87.8434065934066,68432
A4,DLRM train,sata,3,36,21.929870251685877,22.366787025666163,19.944098808745736,0.5159208639409991,88.98124030554011,68338
A4,DLRM train,sata,3,48,24.078724024080685,24.548376214512782,16.952429400999428,0.5693101225016118,90.38450266690113,68244
A5,GAPBS graph,nvme,2,4,4.318517970653245,4.440370730328599,86.27071810460194,0.18584960652870883,55.27542990381813,68620
A5,GAPBS graph,nvme,2,6,7.4967680760875455,7.636203825876601,54.711146897277715,0.2189054000845814,64.45393959721757,68573
A5,GAPBS graph,nvme,2,8,10.030476623074192,10.162567952473271,41.9406089532463,0.2140492613710936,68.58238665363918,68573
A5,GAPBS graph,nvme,2,12,13.742763047063242,13.890801136985559,22.902719251236,0.25118932959752505,75.81064121647259,68526
A5,GAPBS graph,nvme,2,16,16.91064311989225,17.044983612660303,13.11710619485071,0.23815777952893794,80.20167527653737,68526
A5,GAPBS graph,nvme,2,24,20.291857156550197,20.43748289463318,10.295527177191138,0.26819324292728547,88.72895721299977,68432
A5,GAPBS graph,nvme,2,36,22.943998202334885,23.103486244950577,10.022786019029981,0.3049255172817466,89.84898592291259,68338
A5,GAPBS graph,nvme,2,48,25.06809883213015,25.23703408559142,9.190097725289771,0.33112068460230937,91.27102748959615,68244
A5,GAPBS graph,sata,2,4,3.8527259699587453,4.440370730328599,416.0474953754191,0.18584960652870883,47.9685222967065,68620
A5,GAPBS graph,sata,2,6,6.963763677700348,7.636203825876601,263.8489181013877,0.2189054000845814,56.8182812477214,68573
A5,GAPBS graph,sata,2,8,9.525546863919647,10.162567952473271,202.26196898420392,0.2140492613710936,62.390445218963734,68573
A5,GAPBS graph,sata,2,12,13.176875509779546,13.890801136985559,110.45021058257362,0.25118932959752505,69.9238245337536,68526
